LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/6/2021;"20";"15";"24";"8";"48";"20";"7";"11";"0";"1017";"0";"0";""
Verona;2/6/2021;"20";"12";"26";"9";"51";"21";"8";"15";"0";"1018";"0";"0";""
Verona;3/6/2021;"22";"13";"28";"12";"56";"20";"6";"13";"0";"1022";"0";"0";""
Verona;4/6/2021;"23";"16";"29";"14";"58";"20";"7";"13";"0";"1022";"0";"0";""
Verona;5/6/2021;"23";"17";"29";"15";"62";"19";"9";"22";"0";"1019";"0";"0";"pioggia "
Verona;6/6/2021;"20";"17";"26";"15";"75";"19";"8";"21";"0";"1017";"0";"0";"pioggia temporale "
Verona;7/6/2021;"20";"17";"25";"16";"79";"20";"7";"17";"0";"1017";"0";"0";"pioggia temporale "
Verona;8/6/2021;"22";"16";"28";"16";"70";"19";"6";"13";"0";"1017";"0";"0";""
Verona;9/6/2021;"22";"16";"27";"14";"65";"20";"7";"15";"0";"1017";"0";"0";""
Verona;10/6/2021;"23";"16";"28";"14";"63";"21";"6";"15";"0";"1017";"0";"0";""
Verona;11/6/2021;"22";"18";"27";"15";"69";"20";"7";"15";"0";"1017";"0";"0";"pioggia temporale "
Verona;12/6/2021;"23";"15";"30";"15";"63";"20";"10";"17";"0";"1017";"0";"0";""
Verona;13/6/2021;"25";"17";"32";"17";"63";"19";"6";"17";"0";"1016";"0";"0";""
Verona;14/6/2021;"25";"21";"29";"16";"58";"21";"12";"17";"0";"1018";"0";"0";""
Verona;15/6/2021;"24";"21";"29";"13";"48";"19";"8";"13";"0";"1018";"0";"0";""
Verona;16/6/2021;"24";"17";"30";"15";"60";"22";"6";"9";"0";"1016";"0";"0";""
Verona;17/6/2021;"25";"19";"32";"17";"63";"18";"6";"9";"0";"1016";"0";"0";""
Verona;18/6/2021;"28";"22";"31";"17";"53";"19";"7";"13";"0";"1016";"0";"0";""
Verona;19/6/2021;"26";"20";"32";"17";"60";"18";"10";"21";"0";"1015";"0";"0";""
Verona;20/6/2021;"26";"19";"32";"17";"60";"19";"6";"13";"0";"1011";"0";"0";""
Verona;21/6/2021;"27";"21";"33";"17";"57";"19";"8";"18";"0";"1008";"0";"0";""
Verona;22/6/2021;"26";"17";"33";"13";"48";"19";"6";"18";"0";"1010";"0";"0";""
Verona;23/6/2021;"26";"18";"32";"16";"56";"19";"8";"18";"0";"1014";"0";"0";""
Verona;24/6/2021;"26";"19";"33";"13";"51";"21";"9";"24";"0";"1015";"0";"0";""
Verona;25/6/2021;"25";"18";"30";"13";"49";"21";"13";"21";"0";"1014";"0";"0";""
Verona;26/6/2021;"25";"18";"31";"14";"51";"20";"7";"11";"0";"1015";"0";"0";""
Verona;27/6/2021;"26";"19";"32";"14";"49";"19";"6";"11";"0";"1015";"0";"0";""
Verona;28/6/2021;"28";"20";"33";"15";"47";"20";"9";"17";"0";"1014";"0";"0";""
Verona;29/6/2021;"27";"19";"33";"13";"45";"21";"12";"30";"0";"1010";"0";"0";""
Verona;30/6/2021;"24";"17";"30";"12";"48";"21";"9";"18";"0";"1009";"0";"0";""
